"id","idclasses","name"
"580","13446","GOD_CLASS"
"581","13452","GOD_CLASS"
"582","13471","DATA_CLASS"
"583","13490","GOD_CLASS"
"584","13518","GOD_CLASS"
"585","13522","GOD_CLASS"
"586","13522","BRAIN_CLASS"
"587","13534","GOD_CLASS"
"588","13537","DATA_CLASS"
"589","13542","GOD_CLASS"
"590","13542","BRAIN_CLASS"
"591","13592","DATA_CLASS"
"592","13606","DATA_CLASS"
"593","13686","GOD_CLASS"
"594","13701","DATA_CLASS"
"595","13718","GOD_CLASS"
"596","13724","GOD_CLASS"
"597","13724","BRAIN_CLASS"
"598","13788","BRAIN_CLASS"
"599","13853","GOD_CLASS"
"600","13862","GOD_CLASS"
"601","13864","GOD_CLASS"
"602","13864","BRAIN_CLASS"
"603","13869","GOD_CLASS"
"604","13871","GOD_CLASS"
"605","13889","DATA_CLASS"
"606","13921","GOD_CLASS"
"607","13921","BRAIN_CLASS"
"608","13931","GOD_CLASS"
"609","13998","BRAIN_CLASS"
"610","14040","GOD_CLASS"
"611","14090","GOD_CLASS"
"612","14116","GOD_CLASS"
"613","14162","DATA_CLASS"
"614","14170","DATA_CLASS"
"615","14185","GOD_CLASS"
"616","14228","GOD_CLASS"
"617","14230","GOD_CLASS"
"618","14246","GOD_CLASS"
"619","14294","GOD_CLASS"
"620","14296","DATA_CLASS"
"621","14326","DATA_CLASS"
"622","14359","GOD_CLASS"
"623","14364","GOD_CLASS"
"624","14364","BRAIN_CLASS"
"625","14456","GOD_CLASS"
"626","14462","BRAIN_CLASS"
"627","14471","GOD_CLASS"
"628","14578","DATA_CLASS"
"629","14653","GOD_CLASS"
"630","14704","GOD_CLASS"
"631","14836","GOD_CLASS"
"632","14848","GOD_CLASS"
"633","14868","DATA_CLASS"
"634","14907","GOD_CLASS"
"635","14956","DATA_CLASS"
"636","14958","GOD_CLASS"
"637","15001","GOD_CLASS"
"638","15024","GOD_CLASS"
"639","15024","BRAIN_CLASS"
"640","15031","DATA_CLASS"
"641","15081","GOD_CLASS"
"642","15188","DATA_CLASS"
"643","15250","DATA_CLASS"
"644","15329","GOD_CLASS"
"645","15361","DATA_CLASS"
"646","15415","DATA_CLASS"
"647","15435","BRAIN_CLASS"
"648","15495","BRAIN_CLASS"
"649","15539","BRAIN_CLASS"
"650","15554","GOD_CLASS"
"651","15566","GOD_CLASS"
"652","15616","GOD_CLASS"
"653","15693","DATA_CLASS"
"654","15749","DATA_CLASS"
"655","15794","DATA_CLASS"
"656","15832","GOD_CLASS"
"657","15851","GOD_CLASS"
"658","15311","GOD_CLASS"
"659","15861","DATA_CLASS"
"660","15918","GOD_CLASS"
"661","15943","DATA_CLASS"
"662","15982","GOD_CLASS"
"663","16012","GOD_CLASS"
"664","16022","BRAIN_CLASS"
"665","16036","GOD_CLASS"
"666","16037","GOD_CLASS"
"667","16064","DATA_CLASS"
"668","16102","DATA_CLASS"
"669","16103","GOD_CLASS"
"670","16104","DATA_CLASS"
"671","16107","DATA_CLASS"
"672","16109","DATA_CLASS"
"673","16139","DATA_CLASS"
"674","16141","DATA_CLASS"
"675","16143","DATA_CLASS"
"676","16145","DATA_CLASS"
"677","16148","DATA_CLASS"
"678","16150","DATA_CLASS"
"679","16154","DATA_CLASS"
"680","16155","DATA_CLASS"
"681","16158","DATA_CLASS"
"682","16163","DATA_CLASS"
"683","16164","DATA_CLASS"
"684","16165","DATA_CLASS"
"685","16168","DATA_CLASS"
"686","16170","DATA_CLASS"
"687","16171","DATA_CLASS"
"688","16173","DATA_CLASS"
"689","16174","DATA_CLASS"
"690","16176","DATA_CLASS"
"691","16181","DATA_CLASS"
"692","16183","DATA_CLASS"
"693","16185","DATA_CLASS"
"694","16189","DATA_CLASS"
"695","16224","DATA_CLASS"
"696","16228","DATA_CLASS"
"697","16230","DATA_CLASS"
"698","16231","DATA_CLASS"
"699","16234","DATA_CLASS"
"700","16236","DATA_CLASS"
"701","16239","DATA_CLASS"
"702","16241","DATA_CLASS"
"703","16242","DATA_CLASS"
"704","16244","DATA_CLASS"
"705","16246","DATA_CLASS"
"706","16270","DATA_CLASS"
"707","16272","DATA_CLASS"
"708","16274","DATA_CLASS"
"709","16277","DATA_CLASS"
"710","16279","DATA_CLASS"
"711","16280","DATA_CLASS"
"712","16284","DATA_CLASS"
"713","16287","GOD_CLASS"
"714","16384","DATA_CLASS"
"715","16489","DATA_CLASS"
"716","16500","GOD_CLASS"
"717","16594","DATA_CLASS"
"718","16607","BRAIN_CLASS"
"720","16671","DATA_CLASS"
